category_name,category_url,product_name,price_raw,rating_raw,reviews_raw,product_url,price,reviews_count,rating,value_score,PRICE_USD,popularity_score
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,JIABAILE 4301/02/03/04 RTR 1/43 2.4G 4WD Drift RC Car Mini Race LED Light Optional Gyro Radio Control High-Speed Motor On-Road Racing Vehicle Model Boys Gifts Outdoor Toys,US$23.99,4.82,253 reviews,https://www.banggood.com/JIABAILE-4301-or-02-or-03-or-04-RTR-1-or-43-2_4G-4WD-Drift-RC-Car-Mini-Race-LED-Light-Optional-Gyro-Radio-Control-High-Speed-Motor-On-Road-Racing-Vehicle-Model-Boys-Gifts-Outdoor-Toys-p-2017095.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryToysPop&trace_id=14ee1763848600921,23.99,253,4.82,0.200917048770321,23.99,1219.46
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,JJRC C8812 RTR 2.4G RC Car Tank High Speed Drift Track Off-Road Truck Full Proportional LED Light 360° Rotate Vehicles Models Toys,US$48.99,4.92,88 reviews,https://www.banggood.com/JJRC-C8812-RTR-2_4G-RC-Car-Tank-High-Speed-Drift-Track-Off-Road-Truck-Full-Proportional-LED-Light-360-Rotate-Vehicles-Models-Toys-p-2018403.html?cur_warehouse=CN&ID=6328111&rmmds=CategoryToysPop&trace_id=14ee1763848600921,48.99,88,4.92,0.10042865890998162,48.99,432.96
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,MJX HYPER GO 16208 16209 1/16 Brushless High Speed RC Car Vehicle Models 45km/h,US$93.99,4.85,698 reviews,https://www.banggood.com/MJX-HYPER-GO-16208-16209-1-or-16-Brushless-High-Speed-RC-Car-Vehicle-Models-45km-or-h-p-1967165.html?cur_warehouse=CN&ID=6326710&rmmds=CategoryToysPop&trace_id=14ee1763848600921,93.99,698,4.85,0.05160123417384828,93.99,3385.2999999999997
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,THE LINK G2067 RTR 1/16 2.4G RC Car Tank High Speed RIPSAW EV3-F4 Drift Tracked Off-Road Truck Full Proportional LED Light 360° Rotate Vehicles Models Toy,US$50.99,5.0,9 reviews,https://www.banggood.com/THE-LINK-G2067-RTR-1-or-16-2_4G-RC-Car-Tank-High-Speed-RIPSAW-EV3-F4-Drift-Tracked-Off-Road-Truck-Full-Proportional-LED-Light-360-Rotate-Vehicles-Models-Toy-p-2020153.html?cur_warehouse=CN&ID=6287837&rmmds=CategoryToysPop&trace_id=14ee1763848600921,50.99,9,5.0,0.09805844283192783,50.99,45.0
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,SG PINECONE FOREST SG686 2.4G 1/72 Rc Boat Powerful Dual Motor Wireless Electric Remote Control Tugboat Model Toys for Boys Gift,US$30.79,4.92,53 reviews,https://www.banggood.com/SG-PINECONE-FOREST-SG686-2_4G-1-or-72-Rc-Boat-Powerful-Dual-Motor-Wireless-Electric-Remote-Control-Tugboat-Model-Toys-for-Boys-Gift-p-2002411.html?cur_warehouse=CN&ID=6287844&rmmds=CategoryToysPop&trace_id=14ee1763848600921,30.79,53,4.92,0.15979214030529393,30.79,260.76
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,JJRC Q183 2.4G Tracked RC Car Amphibious Tank Remote Control Climbing Off Road Vehicles Full Proportional Control,US$29.91,4.75,4 reviews,https://www.banggood.com/JJRC-Q183-2_4G-Tracked-RC-Car-Amphibious-Tank-Remote-Control-Climbing-Off-Road-Vehicles-Full-Proportional-Control-p-2017572.html?cur_warehouse=CN&ID=6287843&rmmds=CategoryToysPop&trace_id=14ee1763848600921,29.91,4,4.75,0.15880976262119692,29.91,19.0
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,Orlandoo Hunter OH32X02 1/32 RWD Mini Truck RC Car KIT Rear Drive SUV Unassembled DIY Parts Pipe Micro Roll Cage Trophy Movable Off-road Climbing Toys Remote Control Vehicles Models,US$75.59,4.83,42 reviews,https://www.banggood.com/Orlandoo-Hunter-OH32X02-1-or-32-RWD-Mini-Truck-RC-Car-KIT-Rear-Drive-SUV-Unassembled-DIY-Parts-Pipe-Micro-Roll-Cage-Trophy-Movable-Off-road-Climbing-Toys-Remote-Control-Vehicles-Models-p-1989380.html?cur_warehouse=CN&ID=6325625&rmmds=CategoryToysPop&trace_id=14ee1763848600921,75.59,42,4.83,0.06389734091811086,75.59,202.86
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,ShenQiWei 3311M 27Mhz/40Mhz Electric Mini RC Submarine Boat RTR Model Toy,US$15.59,4.77,22 reviews,https://www.banggood.com/ShenQiWei-3311M-27Mhz-or-40Mhz-Electric-Mini-RC-Submarine-Boat-RTR-Model-Toy-p-1508619.html?cur_warehouse=CN&ID=3193&rmmds=CategoryToysPop&trace_id=14ee1763848600921,15.59,22,4.77,0.3059653624118024,15.59,104.94
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,UDIRC UCX2405 UCX2405 PRO RTR 1/24 2.4G 4WD RC Car Rock Crawler Off-Road Climbing Cage Trail Truck Snow Leopard LED Light Full Proportional Vehicles Models Oil Filled Shocks Toys,US$99.99,4.76,62 reviews,https://www.banggood.com/UDIRC-UCX2405-UCX2405-PRO-RTR-1-or-24-2_4G-4WD-RC-Car-Rock-Crawler-Off-Road-Climbing-Cage-Trail-Truck-Snow-Leopard-LED-Light-Full-Proportional-Vehicles-Models-Oil-Filled-Shocks-Toys-p-2026638.html?cur_warehouse=CN&ID=6330472&rmmds=CategoryToysPop&trace_id=14ee1763848600921,99.99,62,4.76,0.04760476047604761,99.99,295.12
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,JJRC C8815 RTR 1/10 2.4G 4WD RC Car Willys Military Truck Off-Road Climbing LED Light Optional Winch Canopy Metal Frame Rock Crawler Full Proportional Vehicles Models Toys,US$52.09,4.77,169 reviews,https://www.banggood.com/JJRC-C8815-RTR-1-or-10-2_4G-4WD-RC-Car-Willys-Military-Truck-Off-Road-Climbing-LED-Light-Optional-Winch-Canopy-Metal-Frame-Rock-Crawler-Full-Proportional-Vehicles-Models-Toys-p-2022291.html?cur_warehouse=CN&ID=6332687&rmmds=CategoryToysPop&trace_id=14ee1763848600921,52.09,169,4.77,0.0915722787483202,52.09,806.1299999999999
